ああ;Ah!, Oh!;aa
かう;to buy;kau
かえす;to return something;kaesu
かえる;to go home, to return;kaeru
かお;face (person);kao
かかる;to take (eg time, money);kakaru
かぎ;key/s;kagi
かく;to write;kaku
がくせい;student;gakusei
～かげつ;(number of) months;～kagetsu
かける;to put on (eg glasses);kakeru
かける;to dial/call (eg phone);kakeru
かさ;umbrella;kasa
かす;to lend;kasu
かぜ;wind, breeze;kaze
かぜ;cold, illness;kaze
かた;person;kata
かぞく;family;kazoku
かたかな;katakana;katakana
～がつ;month of year;～gatsu
がっこう;school;gakkou
カップ;cup;kappu
かてい;home, household;katei
かど;corner (e.g. desk);kado
かばん;bag, basket;kaban
かびん;(flower) vase;kabin
かぶる;to wear, to put on (head);kaburu
かみ;paper;kami
カメラ;camera;kamera
かようび;Tuesday;kayoubi
からい;spicy, salty;karai
からだ;body;karada
かりる;to borrow, to have a loan;kariru
～がる;feel;～garu
かるい;light, non-serious, minor;karui
カレー;curry;karee
カレンダー;calendar;karendaa
かわ;river;kawa
～がわ;～ side;～gawa
かわいい;cute, charming;kawaii
かんじ;kanji, Chinese character;kanji
き;tree, wood;ki
きいろ;yellow;kiiro
きいろい;yellow;kiiroi
きえる;to go out, to vanish;kieru
きく;to hear, to listen, to ask;kiku
きた;north;kita
ギター;guitar;gitaa
きたない;dirty, messy;kitanai
きっさてん;coffee lounge;kissaten
きって;stamp (eg. postage);kitte
きっぷ;ticket;kippu
きのう;yesterday;kinou
きゅう;nine;kyuu
ぎゅうにく;beef;gyuuniku
ぎゅうにゅう;milk;gyuunyuu
きょう;today, this day;kyou
きょうしつ;classroom;kyoushitsu
きょうだい;siblings (brothers and sisters);kyoudai
きょねん;last year;kyonen
きらい;dislike, hate;kirai
きる;to cut, to chop;kiru
きる;to wear, to put on (from shoulders down);kiru
きれい;pretty, clean, nice, tidy;kirei
キロ/キログラム;kilo (kilogram);kiro/kiroguramu
キロ/キロメートル;kilo (kilometre);kiro/kiromeetoru
ぎんこう;bank;ginkou
きんようび;Friday;kin'youbi
く;nine;ku
くすり;medicine;kusuri
ください;(with te-form verb) please do for me;kudasai
くだもの;fruit;kudamono
くち;mouth, orifice, opening;kuchi
くつ;shoes, footwear;kutsu
くつした;socks;kutsushita
くに;country;kuni
くもり;cloudiness, cloudy weather;kumori
くもる;to become cloudy, to become dim;kumoru
くらい;dark, gloomy;kurai
～くらい/ぐらい;approximate (quantity);～kurai/gurai
クラス;class;kurasu
グラム;gram;guramu
くる;to come;kuru
くるま;car, vehicle;kuruma
くろ;black;kuro
くろい;black;kuroi
けいかん;policeman;keikan
けさ;this morning;kesa
けす;to erase, to delete, to turn off power;kesu
けっこう;nice, enough;kekkou
けっこん（する）;marriage;kekkon(suru)
げつようび;Monday;getsuyoubi
げんかん;entrance-way, entry hall;genkan
げんき;health;genki
～こ;counter for small items;～ko
ご;five;go
～ご;word, language;～go
こうえん;(public) park;kouen
こうさてん;intersection;kousaten
こうちゃ;black tea;koucha
こうばん;police box;kouban
こえ;voice;koe
コート;coat;kooto
コーヒー;coffee;koohii
ここ;here, this place;koko
ごご;afternoon, P.M.;gogo
ここのか;nine days, the ninth day (of the month);kokonoka
ここのつ;nine;kokonotsu
ごぜん;morning, A.M.;gozen
こたえる;to answer, to reply;kotaeru
こちら;this eg person, way;kochira
こっち;this eg person, way;kotchi
コップ;cup;koppu
ことし;this year;kotoshi
ことば;word;kotoba
こども;child, children;kodomo
この;this;kono
ごはん;rice (cooked), meal;gohan
コピー・する;to copy;kopii/suru
こまる;to be worried, to be bothered;komaru
これ; this;kore
～ころ/～ごろ;about, approximately (time);～koro/～goro
こんげつ;this month;kongetsu
こんしゅう;this week;konshuu
こんな;such, like this;konna
こんばん;tonight, this evening;konban
さあ;come now, well;saa
～さい;～years-old;～sai
さいふ;wallet;saifu
さかな;fish;sakana
さき;the future, former, previous;saki
さく;to bloom;saku
さくぶん;composition, writing;sakubun
さす;to raise (stretch out) hands, to raise (eg umbrella);sasu
～さつ;counter for books;～satsu
ざっし;magazine;zasshi
さとう;sugar;satou
さむい;cold (e.g. weather);samui
さらいねん;year after next;sarainen
～さん;Mr or Mrs;～san
さん;three;san
さんぽ（する）;walk, stroll;sanpo(suru)
し;four;shi
～じ;time (～ O'clock);～ji
しお;salt;shio
しかし; however, but;shikashi
じかん;time;jikan
～じかん;～hours;～jikan
しごと;work, occupation, employment;shigoto
じしょ;dictionary;jisho
しずか;quiet, peaceful;shizuka
した;under, below, beneath;shita
しち;seven;shichi
しつもん;question, inquiry;shitsumon
じてんしゃ;bicycle;jitensha
じどうしゃ;automobile;jidousha
しぬ;to die;shinu
じびき;dictionary;jibiki
じぶん;myself, oneself;jibun
しまる;to close, to be closed;shimaru
しめる;to close, to shut;shimeru
しめる;to tie, to fasten;shimeru
じゃ/じゃあ;well, well then;ja/jaa
しゃしん;photograph;shashin
シャツ;shirt, singlet;shatsu
シャワー;shower;shawaa
じゅう;ten;juu
～じゅう;during, while;～juu
～しゅうかん;～weeks;～shuukan
じゅぎょう;lesson, class work;jugyou
しゅくだい;homework;shukudai
じょうず;skill, skillful, dexterity;jouzu
じょうぶ;strong, solid, durable;joubu
しょうゆ;soy sauce;shouyu
しょくどう;cafeteria, dining hall;shokudou
しる;to know, to understand;shiru
しろ;white;shiro
しろい;white;shiroi
～にん;counter for people;～nin
しんぶん;newspaper;shinbun
すいようび;Wednesday;suiyoubi
すう;to smoke, to breathe in, to suck;suu
スカート;skirt;sukaato
すき;liking, fondness, love;suki
～すぎ;to exceed, ～ too much;～sugi
すくない;a few, scarce;sukunai
すぐ・に;immediately, instantly;sugu/ni
すこし;little, few;sukoshi
すずしい;cool, refreshing;suzushii
～ずつ;at a time, gradually;～zutsu
ストーブ;heater (lit: stove);sutoobu
スプーン;spoon;supuun
スポーツ;sport;supootsu
ズボン;trousers (fr: jupon);zubon
すむ;to reside, to live in;sumu
スリッパ;slippers;surippa
する;to do, to try;suru
すわる;to sit;suwaru
せい;height, stature;sei
せいと;pupil;seito
セーター;sweater, jumper;seetaa
せっけん;soap;sekken
せびろ;business suit;sebiro
せまい;narrow, confined, small;semai
ゼロ;zero;zero
せん;thousand, many;sen
せんげつ;last month;sengetsu
せんしゅう;last week, the week before;senshuu
せんせい;teacher, master, doctor;sensei
せんたく;washing, laundry;sentaku
ぜんぶ;all, entire, whole;zenbu
そう/そうです;appears, to be the case;sou/soudesu
そうじ（する）;cleaning, sweeping;souji(suru)
そうして/そして;and, like that;soushite/soshite
そこ;that place, there;soko
そちら;over there;sochira
そっち;over there;sotchi
そと;outside, exterior;soto
その;that;sono
そば;near, close, beside;soba
そら;sky;sora
それ;it, that;sore
それから;and then, after that;sorekara
それでは;in that situation, well then...;soredeha
～だい;counter for vehicles/machines;～dai
だいがく;university;daigaku
たいしかん;embassy;taishikan
だいじょうぶ;safe, all right, O.K.;daijoubu
だいすき;very likeable, like very much;daisuki
たいせつ;important;taisetsu
だいどころ;kitchen;daidokoro
たいへん;very;taihen
たいへん;difficult situation, tough situation;taihen
たかい;tall, high;takai
たかい;expensive;takai
～だけ;only ～, just ～;～dake
たくさん;many, a lot, much;takusan
タクシー;taxi;takushii
だす;to put out, to send;dasu
～たち;plural suffix;～tachi
たつ;to stand;tatsu
たて;length, height;tate
たてもの;building;tatemono
たのしい;enjoyable, fun;tanoshii
たのむ;to request, to ask;tanomu
たばこ;tobacco, cigarettes;tabako
たぶん;perhaps, probably;tabun
たべもの;food;tabemono
たべる;to eat;taberu
たまご;egg(s);tamago
だれ;who;dare
だれか;someone, somebody;dareka
たんじょうび;birthday;tanjoubi
だんだん;gradually, by degrees;dandan
ちいさい;small, little;chiisai
ちいさな;small, little;chiisana
ちかい;near, close by, short;chikai
ちがう;to differ (from);chigau
ちかく;near;chikaku
ちかてつ;underground train, subway;chikatetsu
ちず;map;chizu
ちち;(one's own) father;chichi
ちゃいろ;brown;chairo
ちゃわん;rice bowl;chawan
～ちゅう;during, while ～ing;～chuu
ちょうど;just, right, exactly;choudo
ちょっと;a little, somewhat;chotto
ついたち;for one day, first of month;tsuitachi
つかう;to use;tsukau
つかれる;to get tired, to tire;tsukareru
つぎ;next;tsugi
つく;to arrive at, to reach;tsuku
つくえ;desk;tsukue
つくる;to make, to create;tsukuru
つける;to turn on (eg a light);tsukeru
つとめる;to serve, to work (for);tsutomeru
つまらない;insignificant, boring;tsumaranai
つめたい;cold (to the touch);tsumetai
つよい;strong, powerful;tsuyoi
て;hand;te
テープ;tape;teepu
テープレコーダー;tape recorder;teepurekoodaa
テーブル;table;teeburu
でかける;to depart, to go out;dekakeru
てがみ;letter;tegami
できる;to be able to;dekiru
でぐち;exit;deguchi
テスト;test;tesuto
では;with that...;deha
デパート;department store;depaato
でも;but, however;demo
でる;to appear, to leave;deru
テレビ;television, TV;terebi
てんき;weather;tenki
でんき;electricity, (electric) light;denki
でんしゃ;electric train;densha
でんわ;telephone;denwa
と;door (Japanese style);to
～ど;counter for occurrences;～do
ドア;door (Western style);doa
トイレ;toilet;toire
どう;how, in what way;dou
どうして;why?, for what reason;doushite
どうぞ;please, kindly, by all means;douzo
どうぶつ;animal;doubutsu
どうも;thanks, very;doumo
とお;ten;too
とおい;far, distant;tooi
とおか;ten days, the tenth (day of the month);tooka
～とき;at the time of ～;～toki
ときどき;sometimes;tokidoki
とけい;watch, clock;tokei
どこ;where, what place;doko
ところ;place;tokoro
とし;year, age;toshi
としょかん;library;toshokan
どちら;which, which way;dochira
どっち;which one, which way;dotchi
とても;very;totemo
どなた;who;donata
となり;next to, next door to;tonari
どの;which;dono
とぶ;to fly, to hop;tobu
とまる;to come to a halt;tomaru
ともだち;friend;tomodachi
どようび;Saturday;doyoubi
とり;bird;tori
とりにく;chicken meat;toriniku
とる;to take;toru
とる;to take (a photo);toru
どれ;which (of three or more);dore
どんな;what, what kind of;donna
ない;there isn't, doesn't have;nai
ナイフ;knife;naifu
なか;inside, middle, among;naka
ながい;long;nagai
～ながら;while ~ing, during, although;～nagara
なく;to sing (bird), to make sound (animal);naku
なくす;to lose something;nakusu
なぜ;why;naze
なつ;summer;natsu
なつやすみ;summer vacation, summer holiday;natsuyasumi
～など;et cetera;～nado
ななつ;seven;nanatsu
なん/なに;what;nan/nani
なのか;seven days, the seventh day (of the month);nanoka
なまえ;name;namae
ならう;to learn;narau
ならぶ;to line up, to stand in a line;narabu
ならべる;to line up, to set up;naraberu
なる;to become;naru
なん～;what sort of ～;nan～
に;two;ni
にぎやか;bustling, busy;nigiyaka
にく;meat;niku
にし;west;nishi
～にち;～ day of the month, for ～ days;～nichi
にちようび;Sunday;nichiyoubi
にもつ;luggage;nimotsu
ニュース;news;nyuusu
にわ;garden;niwa
～にん;counter for people;～nin
ぬぐ;to take off clothes;nugu
ぬるい;lukewarm;nurui
ネクタイ;tie, necktie;nekutai
ねこ;cat;neko
ねる;to go to bed, to sleep;neru
～ねん;～ years;～nen
ノート;notebook, exercise book;nooto
のぼる;to climb;noboru
のみもの;drink, beverage;nomimono
のむ;to drink;nomu
のる;to get on, to ride in, to board;noru
は;tooth;ha
パーティー;party;paateii
はい;yes;hai
～はい;counter for cupfuls;～hai
はいざら;ashtray;haizara
はいる;to enter, to contain, to hold;hairu
はがき;postcard;hagaki
はく;to wear, to put on (trousers);haku
はこ;box;hako
はし;bridge;hashi
はし;chopsticks;hashi
はじまる;to begin;hajimaru
はじめ;beginning, start;hajime
はじめて;for the first time;hajimete
はしる;to run;hashiru
バス;bus;basu
バター;butter;bataa
はたち;20 years old, 20th year;hatachi
はたらく;to work;hataraku
はち;eight;hachi
はつか;twenty days, twentieth (day of the month);hatsuka
はな;flower;hana
はな;nose;hana
はなし;talk, story;hanashi
はなす;to speak;hanasu
はは;(one's own) mother;haha
はやい;early;hayai
はやい;quick, fast;hayai
はる;spring;haru
はる;to stick, to paste;haru
はれ;clear weather;hare
はれる;to be sunny;hareru
はん;half;han
ばん;evening;ban
～ばん;～st/th best;～ban
パン;bread;pan
ハンカチ;handkerchief;hankachi
ばんごう;number;bangou
ばんごはん;dinner, evening meal;bangohan
はんぶん;half;hanbun
ひがし;east;higashi
～ひき;counter for small animals;～hiki
ひく;to pull;hiku
ひく;to play (piano, guitar);hiku
ひくい;short, low;hikui
ひこうき;aeroplane, airplane;hikouki
ひだり;left hand side;hidari
ひと;man, person;hito
ひとつ;one;hitotsu
ひとつき;one month;hitotsuki
ひとり;one person;hitori
ひま;free time, leisure;hima
ひゃく;100, hundred;hyaku
びょういん;hospital;byouin
びょうき;illness, disease, sickness;byouki
ひらがな;hiragana;hiragana
ひる;noon, daytime;hiru
ひるごはん;lunch, midday meal;hirugohan
ひろい;spacious, wide;hiroi
フィルム;film (roll of);fyirumu
ふうとう;envelope;fuutou
プール;swimming pool;puuru
フォーク;fork;fuooku
ふく;to blow (wind, etc);fuku
ふく;clothes;fuku
ふたつ;two;futatsu
ぶたにく;pork;butaniku
ふたり;two people;futari
ふつか;second day of the month, two days;futsuka
ふとい;fat, thick;futoi
ふゆ;winter;fuyu
ふる;to precipitate, to fall (e.g. rain);furu
ふるい;old (not person), aged, ancient;furui
ふろ;bath;furo
～ふん;～minutes;～fun
ぶんしょう;sentence, text;bunshou
ページ;page;peeji
へた;unskillful, poor;heta
ベッド;bed;beddo
ペット;pet;petto
へや;room;heya
へん;area, vicinity;hen
ペン;pen;pen
べんきょう（する）;study, diligence;benkyou(suru)
べんり;convenient, handy;benri
ほう;way;hou
ぼうし;hat;boushi
ボールペン;ball-point pen;boorupen
ほか;other place, the rest;hoka
ポケット;pocket;poketto
ほしい;want, in need of, desire;hoshii
ポスト;post;posuto
ほそい;thin, slender, fine;hosoi
ボタン;button;botan
ホテル;hotel;hoteru
ほん;book;hon
～ほん;counter for long cylindrical things;～hon
ほんだな;bookshelves;hondana
ほんとう;reality, truth;hontou
～まい;counter for flat things;～mai
まいあさ;every morning;maiasa
まいげつ/まいつき;every month, monthly;maigetsu/maitsuki
まいしゅう;every week;maishuu
まいにち;every day;mainichi
まいねん/まいとし;every year, annually;mainen/maitoshi
まいばん;every night;maiban
まえ;before, in front;mae
～まえ;in front of ～;～mae
まがる;to turn, to bend;magaru
まずい;unappetising, unpleasant (taste);mazui
また;again, and;mata
まだ;yet, still, besides;mada
まち;town, city;machi
まつ;to wait;matsu
まっすぐ;straight (ahead), direct;massugu
マッチ;match;matchi
まど;window;mado
まるい;round, circular;marui
まん;ten thousand, everything;man
まんねんひつ;fountain pen;mannenhitsu
みがく;to brush (teeth);migaku
みぎ;right hand side;migi
みじかい;short;mijikai
みず;water;mizu
みせ;store, shop, establishment;mise
みせる;to show, to display;miseru
みち;road, street;michi
みっか;three days, the third day (of the month);mikka
みっつ;three;mittsu
みどり;green;midori
みなさん;everyone;minasan
みなみ;South, proceeding south;minami
みみ;ear;mimi
みる;to see, to watch;miru
みんな;all, everyone, everybody;minna
むいか;six days, sixth (day of month);muika
むこう;beyond, over there;mukou
むずかしい;difficult;muzukashii
むっつ;six;muttsu
むら;village;mura
め;eye, eyeball;me
メートル;metre, meter;meetoru
めがね;spectacles, glasses;megane
もう;already;mou
もう;again;mou
もくようび;Thursday;mokuyoubi
もしもし;hello (on phone);moshimoshi
もつ;(1) to hold, to carry, (2) to possess;motsu
もっと;more, longer, farther;motto
もの;thing, object;mono
もん;gate;mon
もんだい;problem, question;mondai
～や;～ shop;～ya
やおや;greengrocer;yaoya
やさい;vegetable;yasai
やさしい;easy, plain, simple;yasashii
やすい;cheap, inexpensive;yasui
やすみ;rest, vacation, holiday;yasumi
やすむ;to rest, to have a break, to take a day off;yasumu
やっつ;eight;yattsu
やま;mountain;yama
やる;to do;yaru
ゆうがた;evening;yuugata
ゆうはん;dinner;yuuhan
ゆうびんきょく;post office;yuubinkyoku
ゆうべ;last night;yuube
ゆうめい;famous;yuumei
ゆき;snow;yuki
ゆっくり・と;slowly, at ease;yukkuri/to
ようか;eight days, the eighth (day of the month);youka
ようふく;Western-style clothes;youfuku
よく;frequently, often;yoku
よく;well, skillfully;yoku
よこ;beside, side, width;yoko
よっか;(1) 4th day of month, (2) four days;yokka
よっつ;four;yottsu
よぶ;to call out, to invite;yobu
よむ;to read;yomu
よる;evening, night;yoru
よわい;weak, feable;yowai
らいげつ;next month;raigetsu
らいしゅう;next week;raishuu
らいねん;next year;rainen
ラジオ;radio;rajio
ラジカセ;radio cassette player;rajikase
りっぱ;splendid, fine;rippa
りゅうがくせい;overseas student;ryuugakusei
りょうしん;parents, both parents;ryoushin
りょうり;cooking, cuisine;ryouri
りょこう;travel, trip;ryokou
れい;zero, nought;rei
れいぞうこ;refrigerator;reizouko
レコード;record;rekoodo
レストラン;restaurant;resutoran
れんしゅう（する）;(to) practice;renshuu(suru)
ろうか;corridor;rouka
ろく;six;roku
ワイシャツ;shirt (lit: white shirt), business shirt;waishatsu
わかい;young;wakai
わかる;to understand;wakaru
わすれる;to forget;wasureru
わたし;I, myself;watashi
わたくし;I, myself;watakushi
わたす;to pass over, to hand over;watasu
わたる;to cross over, to go across;wataru
わるい;bad, inferior;warui
